,Title,Price,monthly sels,Rating,URL
0,"ElectricToothbrushSet,Comeswith8...",7.53,5000.0,4.3,https://www.amazon.com/dp/B08L78KPWJ
1,"PowerStripSurgeProtector,BESHON5Ft...",0.0,3000.0,4.8,https://www.amazon.com/dp/B09Y5HT6HR
2,Belkin12-OutletSurgeProtectorPowerStrip...,21.84,10000.0,4.7,https://www.amazon.com/dp/B0C6S6TPRH
3,"Belkin6-OutletSurgeProtectorPowerStrip,...",17.32,4000.0,4.7,https://www.amazon.com/dp/B0CCYKVVRH
4,"ORICOSurgeProtectorPowerStrip,Multiple...",15.06,100.0,4.7,https://www.amazon.com/dp/B0FPCCF6YN
5,Belkin6-OutletWallSurgeProtectorw/...,18.83,300.0,4.6,https://www.amazon.com/dp/B00ATZJ606
6,"WORKPROSolderingIronKit,90WSoldering...",15.06,0.0,4.5,https://www.amazon.com/dp/B0CN8RHGTT
7,WallOutletExtenderwithShelfand...,0.0,4000.0,4.5,https://www.amazon.com/dp/B09ZKZYBZX
8,2026AirTrackerTagsItemLocator...,23.05,500.0,4.8,https://www.amazon.com/dp/B0FV8GLRGC
9,"BIGASUODigitalPictureFrame,10.1""Frameo...",0.0,2000.0,4.5,https://www.amazon.com/dp/B088NHSVJN
10,"FanttikB10ProElectricAirDuster,...",30.13,800.0,4.4,https://www.amazon.com/dp/B0FLK6K9FV
11,"WallCharger,SurgeProtector,QINLIANF5...",0.0,10000.0,4.7,https://www.amazon.com/dp/B08R6S1M1K
12,MedicalGradeFSA-HSAEligibleHeavyDuty...,52.55,2000.0,4.4,https://www.amazon.com/dp/B0DQCT9SYP
13,"ElectricLighter,CandleLighterFlamelessWindproof...",4.51,50.0,4.5,https://www.amazon.com/dp/B0FJDHKXQ2
14,"MiniMonocularTelescope,Upgrade30x...",7.15,300.0,3.9,https://www.amazon.com/dp/B0BXJN22QB
15,"RetractableCarCharger,4in1...",10.53,10000.0,4.4,https://www.amazon.com/dp/B0DFLVGQX5
16,"MultiChargingCable(2Pack4FT),3in...",6.77,100.0,4.4,https://www.amazon.com/dp/B0DQ54DGW3
17,7AM2MUltrasonicElectricToothbrushwith6...,15.06,300.0,4.5,https://www.amazon.com/dp/B0FQNZ5RNY
18,"MultiUSBChargingAdapterCableKit,...",5.27,2000.0,4.4,https://www.amazon.com/dp/B0BL6K2CT7
19,"BAGSMARTElectronicsOrganizerTravelCase,Cord...",0.0,1000.0,4.6,https://www.amazon.com/dp/B0DG4LPKTR
20,OneBeat1680J3SidePower...,0.0,3000.0,4.7,https://www.amazon.com/dp/B09QKBBNCX
21,"FlatPlugPowerStrip,6ftUltra...",0.0,5000.0,4.7,https://www.amazon.com/dp/B0BMF7PJ4X
22,Better&BetterSonicBambooElectric...,60.27,0.0,4.2,https://www.amazon.com/dp/B0FP5MRC7Q
23,"SurgeProtector,OutletExtenderwithNight...",0.0,2000.0,4.6,https://www.amazon.com/dp/B09XMMZSWW
24,ASURION3YearElectronicsProtectionPlan...,0.0,0.0,4.5,https://www.amazon.com/dp/B07Q38SCGL
25,"AmazonBasicsPrecisionScrewdriverSet,32-Piece...",9.49,50.0,4.6,https://www.amazon.com/dp/B07V3TDP49
26,"VSGOFullFrameSensorCleaningKit,...",9.72,100.0,4.8,https://www.amazon.com/dp/B0G4LRMHCT
27,7AM2MSonicElectricToothbrushwith6...,0.0,2000.0,4.3,https://www.amazon.com/dp/B0DY71VMVQ
28,H2oflossSonicElectricToothbrushandWater...,27.12,400.0,4.6,https://www.amazon.com/dp/B0FGD9RMD6
29,H2oflossSonicElectricToothbrushandWater...,27.12,50.0,4.6,https://www.amazon.com/dp/B0FGDDXB7V
30,4PackCandleLighterElectricRechargeable...,10.54,500.0,4.6,https://www.amazon.com/dp/B0DFVJSRJR
31,JOREST59PcsSmallPrecisionScrewdriverSet...,9.03,7000.0,4.6,https://www.amazon.com/dp/B0DMNDCNNJ
32,"FanttikE1MaxElectricScrewdriver,Mini...",33.88,3000.0,4.5,https://www.amazon.com/dp/B0BGWRWRX2
33,"NISHELTravelCordOrganizerCase,Double...",6.02,1000.0,4.7,https://www.amazon.com/dp/B0C4GXWXVN
34,MiniPortableVocal/InstrumentMicrophoneforVoice...,6.02,50.0,3.8,https://www.amazon.com/dp/B019F8ANCC
35,ELEGOOElectronicFunKitBundlewith...,9.03,400.0,4.6,https://www.amazon.com/dp/B01ERP6WL4
36,"AXTH25-in-1SmallPrecisionScrewdriverSet,...",6.77,10000.0,4.6,https://www.amazon.com/dp/B0CBTYZY2S
37,"CAILLUCordOrganizer,CordKeeper,CableOrganizerUSB...",0.0,400.0,4.4,https://www.amazon.com/dp/B01LYZIJAP
38,ONXELEDUSBClockFanwith...,11.44,100.0,4.1,https://www.amazon.com/dp/B010M9KRHO
39,"BluetoothSpeakerwithHDSound,Portable...",0.0,500.0,4.5,https://www.amazon.com/dp/B0GCMP6VSP
40,"WallOutletExtenderwithSurgeProtector,...",12.05,0.0,4.5,https://www.amazon.com/dp/B08LV3Q5CQ
41,"HOTOPocket-SizeLaserMeasuringTool,Gifts...",22.58,1000.0,4.1,https://www.amazon.com/dp/B09156YD8P
42,2026Upgraded15.6''DigitalCalendarChore...,116.02,0.0,,https://www.amazon.com/dp/B0FXLVV93V
43,"IPX7WaterproofShowerBluetoothSpeaker,Portable...",12.05,100.0,4.3,https://www.amazon.com/dp/B0FNMKXF5B
44,LinuxCommandsLineMousepad-...,15.78,400.0,4.7,https://www.amazon.com/dp/B0B8D8XD3R
45,"VCOMGamingUSBMicrophone,CondenserDynamic...",16.24,50.0,4.4,https://www.amazon.com/dp/B0DS5WV9QR
46,"DCPowerSupplyVariable,0-30V0-10A...",37.66,1000.0,4.5,https://www.amazon.com/dp/B09YSJQWRG
47,MiniElectricScrewdriverSet140-IN-1:UnaMela...,0.0,2000.0,4.6,https://www.amazon.com/dp/B0D2HV4GZ2
48,"tomtocElectronicsOrganizerTravelCase,Water...",0.0,1000.0,4.8,https://www.amazon.com/dp/B09781ZY7X
49,"PortableElectronicTibetanSingingBowl,8...",50.09,1000.0,4.6,https://www.amazon.com/dp/B0FDX3JSMQ
50,DUSLANG17InchLaptopBackpackfor...,0.0,2000.0,4.7,https://www.amazon.com/dp/B092TQG5ZD
51,ASURION2YearPortableElectronicAccident...,0.0,0.0,4.4,https://www.amazon.com/dp/B07NTRR9JB
52,"tomtocElectronicsOrganizerTravelCase,Water...",13.44,400.0,4.8,https://www.amazon.com/dp/B0DQ5JQ9J4
53,"Walker'sRazorSlimElectronicMuff,Black",24.36,10000.0,4.8,https://www.amazon.com/dp/B01AAH8CMA
54,ASURION2YearPortableElectronicAccident...,0.0,0.0,4.4,https://www.amazon.com/dp/B07Q58CJX2
55,4PackLightningtoUSBC...,6.02,10000.0,4.3,https://www.amazon.com/dp/B0CZ8V65WC
56,"OutdoorElectricalJunctionBox,ABSWater...",30.13,0.0,4.5,https://www.amazon.com/dp/B0C4YK2MWZ
57,SolderFluxPasteAndSolderWick...,6.4,3000.0,4.6,https://www.amazon.com/dp/B0F8BJPC9Y
58,"10-PortUSBChargerStation,smartMultiple...",13.24,300.0,4.4,https://www.amazon.com/dp/B09Y1W1CQH
59,"JTDKeyFinderLocatorwithSound,...",12.8,100.0,4.4,https://www.amazon.com/dp/B0FKHC28LT
60,2026upgraded4ksupportSmartMini...,37.66,0.0,,https://www.amazon.com/dp/B0F3V5TV2C
61,MEDWoodPhoneDockingStationfor...,29.31,0.0,4.8,https://www.amazon.com/dp/B0FB994HRR
62,"tomtocElectronicsOrganizerTravelCase,Water...",13.44,500.0,4.8,https://www.amazon.com/dp/B0DQ5VZLHM
63,"PerytongSleepHeadphonesWireless,BluetoothSports...",15.06,50.0,4.2,https://www.amazon.com/dp/B0CGTK2NC7
64,iFixitJimmy-UltimateElectronicsPrying...,5.99,1000.0,4.8,https://www.amazon.com/dp/B00NCFIVH4
65,MonocularTelescopeHighPower8x42Monoculars...,22.17,500.0,4.4,https://www.amazon.com/dp/B075WNJGCQ
66,BluetoothBeanieHatHeadphonesUniqueTech...,14.25,50.0,4.6,https://www.amazon.com/dp/B07FNL22KJ
67,ASURION3YearPortableElectronicAccident...,0.0,0.0,4.4,https://www.amazon.com/dp/B082TR27NZ
68,ASURION2YearElectronicsProtectionPlan...,0.0,0.0,4.4,https://www.amazon.com/dp/B07Q59HXNP
69,"BAGSMARTLargeElectronicsTravelOrganizerCase,...",11.29,2000.0,4.6,https://www.amazon.com/dp/B017SKRWL4
70,"MiniPortableProjectorwith4KSupport,...",42.94,1000.0,4.1,https://www.amazon.com/dp/B0F6N7ZQ77
71,"BluetoothSpeakerWireless,IP67Waterproof&Dustproof...",16.45,100.0,4.7,https://www.amazon.com/dp/B0DGQ3KBY5
72,"ChargingStationforMultipleDevices,CREATIVE...",19.21,50.0,4.4,https://www.amazon.com/dp/B0B2R59CV9
73,"MetalWallMountPowerStrip,Mountable...",27.49,200.0,4.8,https://www.amazon.com/dp/B083K4CHPV
74,MonsterPowerCenterVertexSurgeProtector...,75.34,0.0,4.8,https://www.amazon.com/dp/B09KB9PN16
75,"PowerStripTowerwithNightLight,...",24.1,100.0,4.8,https://www.amazon.com/dp/B0CG95TD8W
76,"TicTacToeGame,4in...",10.53,100.0,4.2,https://www.amazon.com/dp/B0DZBK27JY
77,iPhoneChargeLightningCable+Keychain...,4.81,50.0,4.3,https://www.amazon.com/dp/B0784JR9GR
78,"FabaterSoundMachine,PortableElectronicSound...",7.53,300.0,4.5,https://www.amazon.com/dp/B0CLDY3GJX
79,"JiusionWiFiUSBDigitalHandheldMicroscope,...",0.0,0.0,4.0,https://www.amazon.com/dp/B0CPVH11Z6
80,"FORTHiQNeckTENSMachinewithHeat,...",51.99,0.0,3.6,https://www.amazon.com/dp/B08WPL7247
81,"FYYElectronicOrganizer,TravelOrganizerBag...",9.03,500.0,4.5,https://www.amazon.com/dp/B0B7QN3S23
82,"EskyKeyFinderLocatorwithSound,...",0.0,1000.0,4.4,https://www.amazon.com/dp/B078XR8C15
83,"AmazonBasicsKeyFinder,Wallet,Pet...",10.65,100.0,3.8,https://www.amazon.com/dp/B0CDLQ7ZL4
84,"45PCSPrecisionScrewdriverSetWithCase,...",5.0,500.0,4.5,https://www.amazon.com/dp/B0G6YWNHGG
85,MicroUSBtoUSBCAdapter...,5.27,100.0,4.7,https://www.amazon.com/dp/B0DNJRNHX2
86,"LanolaTravelCableOrganizerBag,Electronic...",12.88,100.0,4.6,https://www.amazon.com/dp/B08W1ZJF32
87,"MATEINTravelLaptopBackpack,BusinessAnti...",26.35,8000.0,4.7,https://www.amazon.com/dp/B06XZTZ7GB
88,"FatherDayGiftsforDad,Electronics...",11.29,0.0,4.7,https://www.amazon.com/dp/B0FDFLTV6Y
